name,right_ascension_weighted_average,declination_weighted_average,coordinate_system,Redshift of the galaxy,lensing_flag,classification,g_notes,right_ascension,declination,emitted_frequency,species,integrated_line_flux,integrated_line_flux_uncertainty_positive,integrated_line_flux_uncertainty_negative,peak_line_flux,peak_line_flux_uncertainty_positive,peak_line_flux_uncertainty_negative,line_width,line_width_uncertainty_positive,line_width_uncertainty_negative,observed_line_redshift,observed_line_redshift_uncertainty_positive,observed_line_redshift_uncertainty_negative,detection_type,observed_beam_major,observed_beam_minor,observed_beam_angle,reference,l_notes
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,345.8,CO,9.9,0.6,0.6,25.8,1.6,1.6,362.0,23.0,23.0,2.5576,0.0001,0.0001,SD,,,,1997ApJ...484..695B,"IRAM 30m,No flux cal unc., no beam size and angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,345.8,CO,11.1,1.1,1.1,29.0,4.0,4.0,359.0,36.0,36.0,2.558,0.0002,0.0002,SD,,,,1994Natur.371..586B,"30m telescope, Single-dish number; flux unc derived by fit params in Fig.1 caption; suggests 15% unc., beam size and angle not found"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,345.8,CO,13.2,0.2,0.2,30.0,1.7,1.7,416.0,6.0,6.0,2.55784,3e-05,3e-05,IF,,,,2003A&A...409L..41W,"IRAM IF, Best of the CO(3-2) detections; no flux. cal unc suggested 10%, 'synthesized beams of 7.5""×4.4"" and 3.5""×1.7"" for the 3 mm and 1 mm bands respectively' I think it's the first one but I don't know for sure, no beam angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,345.8,CO,15.4,4.6,4.6,41.0,8.0,8.0,352.0,81.0,81.0,2.5579,0.0004,0.0004,IF,2.8,2.4,-67.0,1996ADIL...DW...01W,"BIMA, Flux+unc derived from fit values; no flux cal unc; I had to calc. z from offset v, BIMA"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,461.04,CO,21.1,0.8,0.8,52.7,2.0,2.0,375.0,16.0,16.0,2.55804,8e-05,8e-05,SD,,,,1997ApJ...484..695B,"IRAM 30m, No flux cal unc., no beam size and angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,576.27,CO,24.0,1.4,1.4,55.6,3.2,3.2,398.0,25.0,25.0,2.558,0.0001,0.0001,SD,,,,1997ApJ...484..695B,"IRAM 30m, No flux cal unc., no beam size and angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,691.47,CO,37.0,8.1,8.1,,,,,,,2.5587750900669066,,,SD,0.25,0.71,30.0,2009ApJ...705..112B,"CSO, z from simultaneous fit to all lines; FWHMs assumed; suggests 15% flux cal unc, no peak values, beam size and angle for this line and 3 others obtained from 'inclined by 30◦. The lens is formed with two galaxies of comparable mass at 0.25′′ and 0.71′′ from the line of sight.', no unc for obs freq"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,806.65,CO,41.0,4.0,4.0,,,,339.0,21.0,21.0,2.5582,0.0003,0.0003,IF,0.86,1.0,73.0,1997ApJ...479L...9Y,"MMA, Assumed to include flux cal unc, no peak values"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,806.65,CO,45.3,6.3,6.3,,,,,,,2.558226731363035,,,SD,0.25,0.71,30.0,2009ApJ...705..112B,"CSO, FWHMs assumed, Suggests 15% unc, no peak values, no unc for obs freq"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,806.65,CO,47.3,2.2,2.2,109.0,5.0,5.0,,,,2.5578,0.0002,0.0002,IF,,,,1997ApJ...484..695B,"PdBI, Insufficient BW to constrain FWHM; no flux cal unc, FWHM estimated from other lines from IRAM 30m (not included), no beam size and angle"
